query_id	subject_id	perc_identity	num_ident_matches	alig_length	mismatches	gap_openings	n_gaps	pos_match	ppos	q_start	q_end	q_len	qcov	qcovhsp	s_start	s_end	s_len	evalue	bit_score	score_raw	species	scope
fig|557433.3.peg.1745	gi|184152655|ref|NC_010609.1|	99.818	549	550	1	0	0	550	100	1	550	550	100	100	1794540	1792891	2039414	0	1084	2803	genome	1
fig|557433.3.peg.1745	gi|184152655|ref|NC_010609.1|	27.567	145	526	374	5	7	271	51.52	17	541	550	100	95	1792649	1791090	2039414	7.2000000000000005e-65	226	576	genome	0.9563636363636363
fig|557433.3.peg.1745	gi|184152655|ref|NC_010609.1|	28.487	145	509	354	6	10	269	52.85	35	541	550	100	92	18790	20292	2039414	2.72e-62	219	557	genome	0.9254545454545454
fig|557433.3.peg.1745	gi|184152655|ref|NC_010609.1|	30.97	83	268	174	5	11	140	52.24	271	537	550	100	49	576219	576992	2039414	2.26e-34	135	340	genome	0.4872727272727273
fig|557433.3.peg.1745	gi|184152655|ref|NC_010609.1|	21.79	112	514	347	15	55	234	45.53	50	538	550	100	89	573791	575242	2039414	7.189999999999999e-30	121	304	genome	0.9345454545454546
fig|557433.3.peg.1745	gi|184152655|ref|NC_010609.1|	26.339	59	224	151	5	14	118	52.68	304	523	550	100	40	1744179	1743538	2039414	5.19e-18	84.3	207	genome	0.40727272727272723
fig|557433.3.peg.1745	gi|184152655|ref|NC_010609.1|	27.935	69	247	156	8	22	123	49.8	297	533	550	100	43	219035	219739	2039414	3.45e-17	81.6	200	genome	0.4490909090909091
fig|557433.3.peg.1745	gi|184152655|ref|NC_010609.1|	26.809	63	235	157	4	15	111	47.23	302	527	550	100	41	1554317	1553631	2039414	6.26e-16	77.8	190	genome	0.42727272727272725
fig|557433.3.peg.1745	gi|184152655|ref|NC_010609.1|	28.085	66	235	158	4	11	106	45.11	304	531	550	100	41	38639	39331	2039414	6.77e-16	77.8	190	genome	0.42727272727272725
fig|557433.3.peg.1745	gi|184152655|ref|NC_010609.1|	27.413	71	259	172	4	16	117	45.17	299	545	550	100	45	1555135	1554371	2039414	7.83e-16	77.4	189	genome	0.47090909090909094
fig|557433.3.peg.1745	gi|184152655|ref|NC_010609.1|	25.234	54	214	141	4	19	100	46.73	318	530	550	100	39	1513054	1513641	2039414	2.49e-14	72.8	177	genome	0.38909090909090904
fig|557433.3.peg.1745	gi|184152655|ref|NC_010609.1|	25.306	62	245	161	7	22	115	46.94	296	530	550	100	43	124383	125081	2039414	4.35e-14	72	175	genome	0.44545454545454544
fig|557433.3.peg.1745	gi|184152655|ref|NC_010609.1|	29.046	70	241	153	9	18	113	46.89	299	530	550	100	42	805861	805166	2039414	4.35e-14	72	175	genome	0.43818181818181823
fig|557433.3.peg.1745	gi|184152655|ref|NC_010609.1|	25.909	57	220	154	6	9	109	49.55	304	519	550	100	39	1601683	1602327	2039414	1.17e-12	67.4	163	genome	0.4
fig|557433.3.peg.1745	gi|184152655|ref|NC_010609.1|	27.053	56	207	128	6	23	102	49.28	303	497	550	100	35	1665629	1665042	2039414	4.85e-12	65.1	157	genome	0.37636363636363634
fig|557433.3.peg.1745	gi|184152655|ref|NC_010609.1|	30.159	57	189	125	4	7	84	44.44	310	494	550	100	34	584217	584774	2039414	6.21e-12	64.7	156	genome	0.34363636363636363
fig|557433.3.peg.1745	gi|184152655|ref|NC_010609.1|	30.247	49	162	104	2	9	84	51.85	319	475	550	100	29	1879301	1879774	2039414	9.86e-12	64.3	155	genome	0.29454545454545455
fig|557433.3.peg.1745	gi|184152655|ref|NC_010609.1|	30.719	47	153	104	2	2	79	51.63	321	472	550	100	28	1955118	1954663	2039414	4.44e-11	62	149	genome	0.2781818181818182
fig|557433.3.peg.1745	gi|184152655|ref|NC_010609.1|	27.586	64	232	144	7	24	115	49.57	302	520	550	100	40	1954394	1953732	2039414	6.2e-11	61.6	148	genome	0.42181818181818187
fig|557433.3.peg.1745	gi|184152655|ref|NC_010609.1|	23.651	57	241	172	4	12	113	46.89	304	537	550	100	43	343845	344552	2039414	2.07e-10	60.1	144	genome	0.43818181818181823
fig|557433.3.peg.1745	gi|184152655|ref|NC_010609.1|	25.403	63	248	162	8	23	117	47.18	295	527	550	100	42	225606	224887	2039414	3.79e-9	55.8	133	genome	0.4509090909090909
fig|557433.3.peg.1745	gi|184152655|ref|NC_010609.1|	22.892	57	249	181	6	11	109	43.78	282	527	550	100	45	1083828	1084550	2039414	4.03e-9	55.8	133	genome	0.45272727272727276
fig|557433.3.peg.1745	gi|184152655|ref|NC_010609.1|	26.882	50	186	114	5	22	84	45.16	299	474	550	100	32	1760781	1761302	2039414	1.67e-7	50.4	119	genome	0.33818181818181814
fig|557433.3.peg.1745	gi|184152655|ref|NC_010609.1|	28.205	55	195	119	9	21	91	46.67	296	480	550	100	34	1808224	1807673	2039414	2.19e-7	50.1	118	genome	0.3545454545454545
fig|557433.3.peg.1745	gi|184152655|ref|NC_010609.1|	25.688	56	218	133	10	29	104	47.71	267	475	550	100	38	851447	852040	2039414	2.32e-7	50.1	118	genome	0.39636363636363636
fig|557433.3.peg.1745	gi|184152655|ref|NC_010609.1|	22.523	50	222	142	5	30	89	40.09	316	518	550	100	37	1912120	1912752	2039414	6.34e-7	48.5	114	genome	0.4036363636363637
